ts,s8lp,sen0220,t3022,scd30,cjmcu811
2021-07-26 14:06:32.765,,,,,3366.0
2021-07-26 14:06:33.907,,799.0,,,
2021-07-26 14:06:35.949,817.0,,,,
2021-07-26 14:06:38.774,,,,,3392.0
2021-07-26 14:06:40.424,,,,752.0,
2021-07-26 14:06:40.467,,799.0,,,
2021-07-26 14:06:40.948,817.0,,,,
2021-07-26 14:06:44.789,,,,,3392.0
2021-07-26 14:06:45.939,816.0,,,,
2021-07-26 14:06:46.283,,,737.0,,
2021-07-26 14:06:47.027,,799.0,,,
2021-07-26 14:06:48.621,,,,752.0,
2021-07-26 14:06:50.803,,,,,3415.0
2021-07-26 14:06:50.927,816.0,,,,
2021-07-26 14:06:53.587,,799.0,,,
2021-07-26 14:06:55.929,816.0,,,,
2021-07-26 14:06:56.814,,,,752.0,
2021-07-26 14:06:56.817,,,,,3415.0
2021-07-26 14:07:00.147,,800.0,,,
2021-07-26 14:07:00.912,816.0,,,,
2021-07-26 14:07:02.415,,,742.0,,
2021-07-26 14:07:02.833,,,,,3415.0
2021-07-26 14:07:05.004,,,,752.0,
2021-07-26 14:07:05.913,816.0,,,,
2021-07-26 14:07:06.707,,800.0,,,
2021-07-26 14:07:07.558,,,744.0,,
2021-07-26 14:07:08.847,,,,,3503.0
2021-07-26 14:07:10.905,817.0,,,,
2021-07-26 14:07:12.670,,,746.0,,
2021-07-26 14:07:13.198,,,,752.0,
2021-07-26 14:07:13.267,,801.0,,,
2021-07-26 14:07:14.862,,,,,3477.0
2021-07-26 14:07:15.894,816.0,,,,
2021-07-26 14:07:19.827,,800.0,,,
2021-07-26 14:07:20.878,,,,,3527.0
2021-07-26 14:07:20.883,816.0,,,,
2021-07-26 14:07:21.396,,,,752.0,
2021-07-26 14:07:23.804,,,752.0,,
2021-07-26 14:07:25.880,816.0,,,,
2021-07-26 14:07:26.387,,800.0,,,
2021-07-26 14:07:26.893,,,,,3503.0
2021-07-26 14:07:29.587,,,,753.0,
2021-07-26 14:07:29.933,,,754.0,,
2021-07-26 14:07:30.875,816.0,,,,
2021-07-26 14:07:32.906,,,,,3477.0
2021-07-26 14:07:35.862,817.0,,,,
2021-07-26 14:07:36.061,,,756.0,,
2021-07-26 14:07:37.780,,,,753.0,
2021-07-26 14:07:38.909,,,,,3477.0
2021-07-26 14:07:39.507,,800.0,,,
2021-07-26 14:07:40.853,817.0,,,,
2021-07-26 14:07:44.923,,,,,3415.0
2021-07-26 14:07:45.849,816.0,,,,
2021-07-26 14:07:45.972,,,,753.0,
2021-07-26 14:07:46.067,,799.0,,,
2021-07-26 14:07:46.193,,,759.0,,
2021-07-26 14:07:50.843,816.0,,,,
2021-07-26 14:07:50.936,,,,,3527.0
2021-07-26 14:07:52.627,,798.0,,,
2021-07-26 14:07:54.171,,,,754.0,
2021-07-26 14:07:54.337,,,760.0,,
2021-07-26 14:07:55.835,817.0,,,,
2021-07-26 14:07:56.949,,,,,3554.0
2021-07-26 14:07:59.188,,799.0,,,
2021-07-26 14:08:00.816,817.0,,,,
2021-07-26 14:08:02.362,,,,753.0,
2021-07-26 14:08:02.464,,,761.0,,
2021-07-26 14:08:02.966,,,,,3554.0
2021-07-26 14:08:05.748,,799.0,,,
2021-07-26 14:08:05.813,817.0,,,,
2021-07-26 14:08:08.984,,,,,3587.0
2021-07-26 14:08:09.608,,,763.0,,
2021-07-26 14:08:10.555,,,,754.0,
2021-07-26 14:08:10.793,816.0,,,,
2021-07-26 14:08:12.309,,800.0,,,
2021-07-26 14:08:14.998,,,,,3554.0
2021-07-26 14:08:15.798,816.0,,,,
2021-07-26 14:08:18.748,,,,753.0,
2021-07-26 14:08:18.870,,800.0,,,
2021-07-26 14:08:20.798,816.0,,,,
2021-07-26 14:08:21.012,,,,,3620.0
2021-07-26 14:08:25.428,,801.0,,,
2021-07-26 14:08:25.789,816.0,,,,
2021-07-26 14:08:26.737,,,766.0,,
2021-07-26 14:08:26.939,,,,753.0,
2021-07-26 14:08:27.026,,,,,3587.0
2021-07-26 14:08:30.783,816.0,,,,
2021-07-26 14:08:31.988,,801.0,,,
2021-07-26 14:08:32.869,,,768.0,,
2021-07-26 14:08:33.046,,,,,3587.0
2021-07-26 14:08:35.132,,,,752.0,
2021-07-26 14:08:35.775,816.0,,,,
2021-07-26 14:08:38.549,,800.0,,,
2021-07-26 14:08:38.996,,,772.0,,
2021-07-26 14:08:39.087,,,,,3620.0
2021-07-26 14:08:40.763,816.0,,,,
2021-07-26 14:08:43.338,,,,752.0,
2021-07-26 14:08:45.104,,,,,3647.0
