ts,cdm4160,cjmcu811,sen0219,t3022,mh-z14a,sen0220,s8lp
2021-06-30 00:15:58.541,,,,,,368.0,
2021-06-30 00:16:01.747,,,681.0,441.0,-1.0,,
2021-06-30 00:16:03.504,,3789.0,,,,,
2021-06-30 00:16:04.586,329.0,,,,,,
2021-06-30 00:16:05.101,,,,,,369.0,
2021-06-30 00:16:09.536,,3789.0,,,,,
2021-06-30 00:16:11.156,342.0,,,,,,
2021-06-30 00:16:11.671,,,,,,369.0,
2021-06-30 00:16:15.570,,3804.0,,,,,
2021-06-30 00:16:17.348,,,793.0,441.0,-1.0,,
2021-06-30 00:16:17.726,284.0,,,,,,
2021-06-30 00:16:18.241,,,,,,370.0,
2021-06-30 00:16:21.602,,3789.0,,,,,
2021-06-30 00:16:24.286,305.0,,,,,,
2021-06-30 00:16:24.801,,,,,,372.0,
2021-06-30 00:16:27.636,,3789.0,,,,,
2021-06-30 00:16:30.845,306.0,,,,,,
2021-06-30 00:16:31.361,,,,,,371.0,
2021-06-30 00:16:32.919,,,581.0,441.0,-1.0,,
2021-06-30 00:16:33.661,,3789.0,,,,,
2021-06-30 00:16:37.405,349.0,,,,,,
2021-06-30 00:16:37.921,,,,,,371.0,
2021-06-30 00:16:39.694,,3789.0,,,,,
2021-06-30 00:16:43.976,323.0,,,,,,
2021-06-30 00:16:44.491,,,,,,371.0,
2021-06-30 00:16:45.727,,3789.0,,,,,
2021-06-30 00:16:48.494,,,953.0,441.0,-1.0,,
2021-06-30 00:16:50.536,348.0,,,,,,
