Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
332,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,483 ppm,,,,13/09/2021 09:37:39 a. m.
333,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,483 ppm,,,,13/09/2021 09:37:40 a. m.
334,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,483 ppm,,,,13/09/2021 09:37:41 a. m.
335,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,483 ppm,,,,13/09/2021 09:37:42 a. m.
336,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,483 ppm,,,,13/09/2021 09:37:43 a. m.
337,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,483 ppm,,,,13/09/2021 09:37:44 a. m.
338,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,483 ppm,,,,13/09/2021 09:37:45 a. m.
339,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,484 ppm,,,,13/09/2021 09:37:46 a. m.
340,,25.4 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,484 ppm,,,,13/09/2021 09:37:47 a. m.
341,,25.4 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,485 ppm,,,,13/09/2021 09:37:48 a. m.
342,,25.3 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,485 ppm,,,,13/09/2021 09:37:49 a. m.
343,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,484 ppm,,,,13/09/2021 09:37:50 a. m.
344,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,484 ppm,,,,13/09/2021 09:37:51 a. m.
345,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,486 ppm,,,,13/09/2021 09:37:52 a. m.
346,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,486 ppm,,,,13/09/2021 09:37:53 a. m.
347,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,486 ppm,,,,13/09/2021 09:37:54 a. m.
348,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,486 ppm,,,,13/09/2021 09:37:55 a. m.
349,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,485 ppm,,,,13/09/2021 09:37:56 a. m.
350,,25.3 °C,21.3 °C,19.8 °C,71.8 %,1 ppm,485 ppm,,,,13/09/2021 09:37:57 a. m.
351,,25.3 °C,21.3 °C,19.8 °C,71.8 %,0 ppm,487 ppm,,,,13/09/2021 09:37:58 a. m.
352,,25.3 °C,21.3 °C,19.8 °C,71.8 %,1 ppm,487 ppm,,,,13/09/2021 09:37:59 a. m.
353,,25.3 °C,21.3 °C,19.8 °C,71.8 %,1 ppm,487 ppm,,,,13/09/2021 09:38:00 a. m.
354,,25.3 °C,21.3 °C,19.8 °C,71.8 %,1 ppm,488 ppm,,,,13/09/2021 09:38:01 a. m.
355,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,488 ppm,,,,13/09/2021 09:38:02 a. m.
356,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,488 ppm,,,,13/09/2021 09:38:03 a. m.
357,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,488 ppm,,,,13/09/2021 09:38:04 a. m.
358,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,488 ppm,,,,13/09/2021 09:38:05 a. m.
359,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,488 ppm,,,,13/09/2021 09:38:06 a. m.
360,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,488 ppm,,,,13/09/2021 09:38:07 a. m.
361,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,488 ppm,,,,13/09/2021 09:38:08 a. m.
362,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,488 ppm,,,,13/09/2021 09:38:09 a. m.
363,,25.3 °C,21.2 °C,19.8 °C,71.8 %,0 ppm,488 ppm,,,,13/09/2021 09:38:10 a. m.
364,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,487 ppm,,,,13/09/2021 09:38:11 a. m.
365,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,487 ppm,,,,13/09/2021 09:38:12 a. m.
366,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,487 ppm,,,,13/09/2021 09:38:13 a. m.
367,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,487 ppm,,,,13/09/2021 09:38:14 a. m.
368,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,487 ppm,,,,13/09/2021 09:38:15 a. m.
369,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,485 ppm,,,,13/09/2021 09:38:16 a. m.
370,,25.4 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,485 ppm,,,,13/09/2021 09:38:17 a. m.
371,,25.4 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,483 ppm,,,,13/09/2021 09:38:18 a. m.
372,,25.4 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,483 ppm,,,,13/09/2021 09:38:19 a. m.
373,,25.4 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,483 ppm,,,,13/09/2021 09:38:20 a. m.
374,,25.4 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,482 ppm,,,,13/09/2021 09:38:21 a. m.
375,,25.4 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,482 ppm,,,,13/09/2021 09:38:22 a. m.
376,,25.4 °C,21.3 °C,19.9 °C,71.8 %,0 ppm,482 ppm,,,,13/09/2021 09:38:23 a. m.
377,,25.4 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,483 ppm,,,,13/09/2021 09:38:24 a. m.
378,,25.4 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,483 ppm,,,,13/09/2021 09:38:25 a. m.
379,,25.4 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,483 ppm,,,,13/09/2021 09:38:26 a. m.
380,,25.4 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,483 ppm,,,,13/09/2021 09:38:27 a. m.
381,,25.4 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,482 ppm,,,,13/09/2021 09:38:28 a. m.
382,,25.4 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,482 ppm,,,,13/09/2021 09:38:29 a. m.
383,,25.4 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,482 ppm,,,,13/09/2021 09:38:30 a. m.
384,,25.4 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,482 ppm,,,,13/09/2021 09:38:31 a. m.
385,,25.4 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,480 ppm,,,,13/09/2021 09:38:32 a. m.
386,,25.4 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,480 ppm,,,,13/09/2021 09:38:33 a. m.
387,,25.4 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,479 ppm,,,,13/09/2021 09:38:34 a. m.
388,,25.4 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,479 ppm,,,,13/09/2021 09:38:35 a. m.
389,,25.4 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,479 ppm,,,,13/09/2021 09:38:36 a. m.
390,,25.4 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,479 ppm,,,,13/09/2021 09:38:37 a. m.
391,,25.4 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,479 ppm,,,,13/09/2021 09:38:38 a. m.
392,,25.4 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,479 ppm,,,,13/09/2021 09:38:39 a. m.
393,,25.4 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,479 ppm,,,,13/09/2021 09:38:40 a. m.
394,,25.4 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,476 ppm,,,,13/09/2021 09:38:41 a. m.
395,,25.4 °C,21.3 °C,19.9 °C,71.8 %,1 ppm,476 ppm,,,,13/09/2021 09:38:42 a. m.
