Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
117,,25.6 °C,21.0 °C,19.3 °C,68.3 %,1 ppm,654 ppm,,,,30/06/2021 01:19:43 p. m.
118,,25.6 °C,21.0 °C,19.3 °C,68.3 %,0 ppm,654 ppm,,,,30/06/2021 01:19:48 p. m.
119,,25.6 °C,21.0 °C,19.3 °C,68.3 %,1 ppm,658 ppm,,,,30/06/2021 01:19:53 p. m.
120,,25.6 °C,21.0 °C,19.3 °C,68.3 %,1 ppm,663 ppm,,,,30/06/2021 01:19:58 p. m.
121,,25.6 °C,21.0 °C,19.3 °C,68.3 %,1 ppm,664 ppm,,,,30/06/2021 01:20:03 p. m.
122,,25.6 °C,21.0 °C,19.3 °C,68.3 %,1 ppm,667 ppm,,,,30/06/2021 01:20:08 p. m.
123,,25.7 °C,21.0 °C,19.3 °C,68.3 %,1 ppm,666 ppm,,,,30/06/2021 01:20:13 p. m.
124,,25.7 °C,21.1 °C,19.4 °C,68.3 %,1 ppm,664 ppm,,,,30/06/2021 01:20:18 p. m.
125,,25.7 °C,21.1 °C,19.4 °C,68.3 %,1 ppm,665 ppm,,,,30/06/2021 01:20:23 p. m.
126,,25.7 °C,21.1 °C,19.4 °C,68.3 %,1 ppm,665 ppm,,,,30/06/2021 01:20:28 p. m.
127,,25.7 °C,21.1 °C,19.4 °C,68.3 %,1 ppm,661 ppm,,,,30/06/2021 01:20:33 p. m.
128,,25.7 °C,21.1 °C,19.4 °C,68.3 %,1 ppm,659 ppm,,,,30/06/2021 01:20:38 p. m.
129,,25.7 °C,21.1 °C,19.4 °C,68.3 %,1 ppm,661 ppm,,,,30/06/2021 01:20:43 p. m.
130,,25.7 °C,21.1 °C,19.4 °C,68.3 %,1 ppm,657 ppm,,,,30/06/2021 01:20:48 p. m.
131,,25.7 °C,21.1 °C,19.4 °C,68.3 %,1 ppm,658 ppm,,,,30/06/2021 01:20:53 p. m.
132,,25.7 °C,21.1 °C,19.4 °C,68.3 %,1 ppm,661 ppm,,,,30/06/2021 01:20:58 p. m.
133,,25.7 °C,21.1 °C,19.4 °C,68.3 %,1 ppm,664 ppm,,,,30/06/2021 01:21:03 p. m.
134,,25.7 °C,21.1 °C,19.4 °C,68.3 %,1 ppm,665 ppm,,,,30/06/2021 01:21:08 p. m.
135,,25.7 °C,21.1 °C,19.4 °C,68.2 %,1 ppm,669 ppm,,,,30/06/2021 01:21:13 p. m.
136,,25.7 °C,21.1 °C,19.4 °C,68.2 %,1 ppm,674 ppm,,,,30/06/2021 01:21:18 p. m.
137,,25.7 °C,21.1 °C,19.4 °C,68.2 %,1 ppm,674 ppm,,,,30/06/2021 01:21:23 p. m.
138,,25.7 °C,21.1 °C,19.4 °C,68.2 %,1 ppm,679 ppm,,,,30/06/2021 01:21:28 p. m.
139,,25.7 °C,21.1 °C,19.4 °C,68.2 %,0 ppm,682 ppm,,,,30/06/2021 01:21:33 p. m.
140,,25.7 °C,21.1 °C,19.4 °C,68.2 %,1 ppm,681 ppm,,,,30/06/2021 01:21:38 p. m.
141,,25.7 °C,21.1 °C,19.4 °C,68.2 %,1 ppm,682 ppm,,,,30/06/2021 01:21:43 p. m.
142,,25.7 °C,21.1 °C,19.4 °C,68.2 %,1 ppm,685 ppm,,,,30/06/2021 01:21:48 p. m.
