Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
256,,26.8 °C,22.0 °C,20.3 °C,67.8 %,1 ppm,635 ppm,,,,05/07/2021 02:56:23 p. m.
257,,26.8 °C,22.0 °C,20.3 °C,67.8 %,1 ppm,637 ppm,,,,05/07/2021 02:56:28 p. m.
258,,26.8 °C,22.0 °C,20.3 °C,67.8 %,1 ppm,642 ppm,,,,05/07/2021 02:56:33 p. m.
259,,26.8 °C,22.0 °C,20.3 °C,67.8 %,1 ppm,645 ppm,,,,05/07/2021 02:56:38 p. m.
260,,26.8 °C,22.0 °C,20.3 °C,67.8 %,0 ppm,647 ppm,,,,05/07/2021 02:56:43 p. m.
261,,26.8 °C,22.0 °C,20.3 °C,67.8 %,0 ppm,640 ppm,,,,05/07/2021 02:56:48 p. m.
262,,26.9 °C,22.1 °C,20.4 °C,67.8 %,1 ppm,639 ppm,,,,05/07/2021 02:56:53 p. m.
263,,26.8 °C,22.0 °C,20.3 °C,67.8 %,1 ppm,641 ppm,,,,05/07/2021 02:56:58 p. m.
264,,26.9 °C,22.1 °C,20.4 °C,67.8 %,1 ppm,640 ppm,,,,05/07/2021 02:57:03 p. m.
265,,26.9 °C,22.1 °C,20.4 °C,67.8 %,1 ppm,639 ppm,,,,05/07/2021 02:57:08 p. m.
266,,26.9 °C,22.1 °C,20.4 °C,67.8 %,1 ppm,637 ppm,,,,05/07/2021 02:57:13 p. m.
267,,26.9 °C,22.1 °C,20.4 °C,67.7 %,1 ppm,637 ppm,,,,05/07/2021 02:57:18 p. m.
268,,26.9 °C,22.1 °C,20.4 °C,67.8 %,1 ppm,639 ppm,,,,05/07/2021 02:57:23 p. m.
269,,26.9 °C,22.1 °C,20.4 °C,67.7 %,1 ppm,641 ppm,,,,05/07/2021 02:57:28 p. m.
270,,26.9 °C,22.1 °C,20.4 °C,67.8 %,1 ppm,643 ppm,,,,05/07/2021 02:57:33 p. m.
271,,26.9 °C,22.1 °C,20.4 °C,67.7 %,0 ppm,644 ppm,,,,05/07/2021 02:57:38 p. m.
272,,26.9 °C,22.1 °C,20.4 °C,67.7 %,1 ppm,643 ppm,,,,05/07/2021 02:57:43 p. m.
273,,26.9 °C,22.1 °C,20.4 °C,67.7 %,1 ppm,643 ppm,,,,05/07/2021 02:57:48 p. m.
274,,26.9 °C,22.1 °C,20.4 °C,67.7 %,1 ppm,647 ppm,,,,05/07/2021 02:57:53 p. m.
275,,26.9 °C,22.1 °C,20.4 °C,67.7 %,1 ppm,647 ppm,,,,05/07/2021 02:57:58 p. m.
276,,26.9 °C,22.1 °C,20.4 °C,67.7 %,1 ppm,644 ppm,,,,05/07/2021 02:58:03 p. m.
277,,26.9 °C,22.1 °C,20.4 °C,67.7 %,1 ppm,645 ppm,,,,05/07/2021 02:58:08 p. m.
278,,26.9 °C,22.1 °C,20.4 °C,67.7 %,0 ppm,643 ppm,,,,05/07/2021 02:58:13 p. m.
